x,y
0.014285714285714285,8.326672684688674e-17
0.014388489208633094,2.7755575615628914e-17
0.014492753623188406,-2.7755575615628914e-17
0.014598540145985401,2.7755575615628914e-17
0.014705882352941176,1.1102230246251565e-16
0.014814814814814815,0.0
0.014925373134328358,2.7755575615628914e-17
0.015037593984962405,2.7755575615628914e-17
0.015151515151515152,5.551115123125783e-17
0.015267175572519083,5.551115123125783e-17
0.015384615384615385,5.551115123125783e-17
0.015503875968992248,2.7755575615628914e-17
0.015625,5.551115123125783e-17
0.015748031496062992,2.7755575615628914e-17
0.015873015873015872,2.7755575615628914e-17
0.016,2.7755575615628914e-17
0.016129032258064516,-2.7755575615628914e-17
0.016260162601626018,0.0
0.01639344262295082,5.551115123125783e-17
0.01652892561983471,8.326672684688674e-17
0.016666666666666666,5.551115123125783e-17
0.01680672268907563,0.0
0.01694915254237288,2.7755575615628914e-17
0.017094017094017096,5.551115123125783e-17
0.017241379310344827,0.0
0.017391304347826087,2.7755575615628914e-17
0.017543859649122806,5.551115123125783e-17
0.017699115044247787,-2.7755575615628914e-17
0.017857142857142856,2.7755575615628914e-17
0.018018018018018018,2.7755575615628914e-17
0.01818181818181818,2.7755575615628914e-17
0.01834862385321101,0.0
0.018518518518518517,0.0
0.018691588785046728,0.0
0.018867924528301886,2.7755575615628914e-17
0.01904761904761905,2.7755575615628914e-17
0.019230769230769232,2.7755575615628914e-17
0.019417475728155338,2.7755575615628914e-17
0.0196078431372549,2.7755575615628914e-17
0.019801980198019802,2.7755575615628914e-17
0.02,2.7755575615628914e-17
0.020202020202020204,5.551115123125783e-17
0.02040816326530612,2.7755575615628914e-17
0.020618556701030927,1.1102230246251565e-16
0.020833333333333332,2.7755575615628914e-17
0.021052631578947368,2.7755575615628914e-17
0.02127659574468085,5.551115123125783e-17
0.021505376344086023,2.7755575615628914e-17
0.021739130434782608,2.7755575615628914e-17
0.02197802197802198,5.551115123125783e-17
0.022222222222222223,2.7755575615628914e-17
0.02247191011235955,-5.551115123125783e-17
0.022727272727272728,2.7755575615628914e-17
0.022988505747126436,-2.7755575615628914e-17
0.023255813953488372,2.7755575615628914e-17
0.023529411764705882,8.326672684688674e-17
0.023809523809523808,2.7755575615628914e-17
0.024096385542168676,5.551115123125783e-17
0.024390243902439025,5.551115123125783e-17
0.024691358024691357,0.0
0.025,2.7755575615628914e-17
0.02531645569620253,-2.7755575615628914e-17
0.02564102564102564,2.7755575615628914e-17
0.025974025974025976,0.0
0.02631578947368421,2.7755575615628914e-17
0.02666666666666667,5.551115123125783e-17
0.02702702702702703,2.7755575615628914e-17
0.0273972602739726,2.7755575615628914e-17
0.027777777777777776,5.551115123125783e-17
0.028169014084507043,5.551115123125783e-17
0.02857142857142857,8.326672684688674e-17
0.028985507246376812,2.7755575615628914e-17
0.029411764705882353,0.0
0.029850746268656716,-2.7755575615628914e-17
0.030303030303030304,2.7755575615628914e-17
0.03076923076923077,5.551115123125783e-17
0.03125,5.551115123125783e-17
0.031746031746031744,8.326672684688674e-17
0.03225806451612903,5.551115123125783e-17
0.03278688524590164,2.7755575615628914e-17
0.03333333333333333,0.0
0.03389830508474576,2.7755575615628914e-17
0.034482758620689655,0.0
0.03508771929824561,2.7755575615628914e-17
0.03571428571428571,5.551115123125783e-17
0.03636363636363636,2.7755575615628914e-17
0.037037037037037035,-2.7755575615628914e-17
0.03773584905660377,8.326672684688674e-17
0.038461538461538464,0.0
0.0392156862745098,0.0
0.04,0.0
0.04081632653061224,5.551115123125783e-17
0.041666666666666664,8.326672684688674e-17
0.0425531914893617,2.7755575615628914e-17
0.043478260869565216,5.551115123125783e-17
0.044444444444444446,5.551115123125783e-17
0.045454545454545456,8.326672684688674e-17
0.046511627906976744,2.7755575615628914e-17
0.047619047619047616,5.551115123125783e-17
0.04878048780487805,0.0
